,date,tweet
0,2020-08-20 23:52:16+00:00,it’s storming so bad here my power jus went out 
1,2020-08-18 19:48:41+00:00,Looking to adapt to change with greater agility? Read this guide to explore five key behaviors for IT leaders:
2,2020-08-20 23:51:38+00:00,My power went out for 12 hours two days ago.. it was over 100 F 
3,2020-08-20 23:50:01+00:00,Power went out and my ps4 is mad at me
4,2020-08-20 23:46:50+00:00,Had a mini heart attack today. Power went out. Reboots my pc found half my files gone. Que temper tantrum. Restarting it apparently fixed it. Ima just go take a nap now
5,2020-08-20 23:36:06+00:00,The last 3 squads and my power went out... rip the dream lolol.
6,2020-08-20 23:34:54+00:00,the power went out in my house gotdamnit
7,2020-08-20 23:33:27+00:00,"My power went out. GREAT, just what I needed alongside this sufferable heat. #Fuck2020"
8,2020-08-20 23:31:21+00:00,This time last week was our first full day with power after it went out during Monday’s #derecho. My husband thinks he pretty funny when it comes to my candle collection. But we weren’t bumping into everything where… https://www.instagram.com/p/CEITCRehTFk/?igshid=35arig575afd
9,2020-08-20 23:26:09+00:00,my power went out uhhhh
10,2020-08-20 23:22:07+00:00,My power went out friends :( littleraly after I said this is still winnable.
11,2020-08-20 23:16:44+00:00,oop my power went out
12,2020-08-20 23:13:14+00:00,My power went out :( but I’m back! http://Twitch.tv/Ashlinaa 
13,2020-08-20 23:10:53+00:00,My power went out while I was farming yokai and I'm pretty sure I died out in the field...
14,2020-08-20 23:07:46+00:00,the power went out five days ago and I finally reset my clocks #progress
15,2020-08-20 23:07:17+00:00,My power just went out in the middle of dreamhack
16,2020-08-20 22:58:06+00:00,My power went out. I'm dying. My life is suffering. I had just put food on the stove!!!!!
17,2020-08-20 22:56:30+00:00,I think my power went out at night 
18,2020-08-20 22:52:06+00:00,my power just went out in the middle of me cooking 
19,2020-08-20 22:50:40+00:00,Just like this what you see went fun of you hey if you see me are we have my power out Des Moines extra to I have I have many ways to princess prince Queen king boss you have to be loyal anybody can do that on this planet nothing going to work
20,2020-08-20 22:48:34+00:00,"Right when I went live my power went out, sorry but no stream today, tomorrow I will try to stream for 8 hours to make up for it"
21,2020-08-20 22:47:59+00:00,"The first hurricane my wife went through when she came here, I told her....don’t worry baby.....we’re too far inland to really worry about it. Then it’s the worst we ever got. After the power went out we watched a big oak tree split my neighbors house and crush his Jeep.Inland "
22,2020-08-18 19:48:41+00:00,Looking to adapt to change with greater agility? Read this guide to explore five key behaviors for IT leaders:
23,2020-08-20 22:45:27+00:00,Just thinking about the time the power went out and my boss still made us go in and wait incase the power went on (it didn’t and she said only one of us could leave before calling back like 30 minutes later to say we can all leave)
24,2020-08-20 22:43:50+00:00,I was laughing at this until my power went out
25,2020-08-20 22:41:32+00:00,My power went out.
26,2020-08-20 22:37:32+00:00,I WAS LISTENING TO MUSIC AND THE POWER WENT OUT SO MY MUSIC GOT SHUT OFF 
27,2020-08-20 22:35:18+00:00,"My power went out on monday, was real fun"
28,2020-08-20 22:14:44+00:00,Power just went out in the middle of my fucking exam 
29,2020-08-20 22:10:08+00:00,dude deadass. this is fucking ass! the power went out where we live so i’m just driving around in my car 
30,2020-08-20 22:00:57+00:00,my power went out TWICE
31,2020-08-20 21:59:02+00:00,my power went out love it here!
32,2020-08-20 21:57:33+00:00,"JHC - I was saving my power move for when the room really went to shit, but I think the room has really gone to shit. Let’s chill it out for @kirkmin @Lets_goooooo Long Islands all around!! (I mean, what could go wrong?)"
33,2020-08-20 21:57:13+00:00,OH NICE MY POWER WENT OUT 
34,2020-08-20 21:56:07+00:00,damn my power just went out 
35,2020-08-20 21:51:40+00:00,My power just went out:(
36,2020-08-20 21:48:11+00:00,"Came in to visit, been awhile, and then my power went out, Sorry, hope I can visit next time."
37,2020-08-20 21:46:19+00:00,Great my power just went out 
38,2020-08-20 21:45:20+00:00,the power went out and I can’t cook anything now need to feed my brother :( maybe I can order food.... pls 
39,2020-08-20 21:45:15+00:00,"my power went out in only HALF of my kitchen, bitch what?"
40,2020-08-20 21:35:49+00:00,I wouldn’t be surprised if my power went out Lmaoo
